country,RCA_AA,RCA_BM,RCA_Bo,RCA_Ca,RCA_Ag,RCA_AP,RCA_He,RCA_IE
Ethiopia,1.43140645,0.123545565,2.702222925,0.108850094,3.688447018,0.120622075,2.445919567,0.309533401
Federated States of Micronesia,12.62573895,0,1.122662664,0.891534106,1.553505692,0,0,0
Fiji,11.65330865,0.142841099,2.819932182,0.141063161,1.515789774,0.016964846,1.535043102,3.119951567
Finland,0.47109781,0.902628911,1.239998724,1.206188255,0.906753118,0.671539634,0.731556226,0.697979752
France,0.927336605,1.095849546,0.880141253,1.005481758,0.614633702,1.134279951,0.322363747,0.64317356
French-Guiana,0.572245722,0.169962726,4.999281458,0.646522575,1.196981724,0.058315133,1.43906526,0
French-Polynesia,2.899742063,0.353334365,1.636298149,0.346513256,0.988040076,0.068192401,0.560936823,0
Gabon,3.507738896,0.385864326,1.715467215,0.259484727,0.945413586,0.068087387,0.420054748,0.626086879
Gambia,0.364370844,0.384788623,0.048599002,0.488853104,0.493165114,0.018565743,1.985334345,0
Georgia,1.87841071,0.391661877,0.637734094,0.265278289,0.478008165,1.039763321,0.823080656,0.080008204
Germany,0.859817801,1.105603212,1.014054068,0.947737982,0.699310116,1.055953486,0.388889882,0.561148545
Ghana,1.21730452,0.172167461,2.147810271,0.43224006,3.919969676,0.134683223,4.314888578,0.391092136
Gilbert & Ellice Islands,0,0,0,0,0,0,0,0
Greece,1.548904669,0.612535063,0.868168135,1.75724222,1.155513763,0.848966087,0.573450575,1.098927814
Grenada,0.425814536,0.252942387,0.05679423,1.082440767,0.261966966,0,4.283299169,0
Guadeloupe,0.440107831,0.203336694,4.06991098,0.435079167,4.494622611,0.059799361,0.737846076,0
Guatemala,10.62289371,0.094054654,1.399580027,1.20749147,2.422861647,0.026403269,1.737503333,0
Guinea,0,0.249658413,2.306339604,0.839447195,1.462743811,0,2.71779988,0
Guinea-Bissau,0,0.045651824,0.184507168,0.195362256,0.340420378,0,1.739391923,0
Guyana,1.933763906,0,5.502320741,0.273095537,2.934539521,0.131374448,1.620989232,0
Haiti,0.896754852,0.118375643,0.53823258,0.189966117,1.048222274,0,4.134405831,0
Honduras,4.002578723,0.096065138,3.300196835,2.158279273,4.880111432,0.037080528,1.52508441,0
Hong-Kong,0.335233235,0.577738143,0.74686753,1.130978035,0.190963058,1.251348588,0.281011276,2.67594872
Hungary,0.967215829,1.129896114,1.167511518,0.689197603,1.590761326,0.762025362,0.323201676,0.52026674
Iceland,2.460168111,0.425426655,0.505323202,1.500927393,0.932334048,0.361015617,0.804277782,0.461064227
India,0.452438037,0.75201293,1.614431721,0.433643713,2.142901199,1.373575772,0.236107261,2.15513433
Indonesia,3.249084305,0.276948902,2.90283123,0.445016758,2.924996308,0.579009728,1.108586543,1.438144102
Iran,0.276487684,0.340367848,0.934598309,0.40525985,1.573330125,0.633668339,0.319558172,3.990957354
Iraq,0.350153557,0.296239926,0.942546024,0.521476809,1.523601889,1.13860133,0.293518327,0.715885797
Ireland,1.319539077,0.803830355,0.526481174,0.838182849,1.637185267,0.70956728,1.288881081,0.64742999
Israel,2.314199965,1.191793264,1.277932785,0.973859416,0.574247264,0.760565661,0.735879928,0.962736645
Italy,0.607892609,0.957361915,0.816128303,1.841790775,0.8450724,0.902529288,0.417439844,0.803923476
Ivory Coast,0.591440349,0.225543546,3.444647006,0.31554297,5.466019533,0.207600716,0.440691939,0.123158696
Jamaica,0.24561419,0.360696634,1.253050651,0.52897415,1.518607579,0.068831124,1.441213008,0.230154834
Japan,0.257913216,1.34365942,0.933990062,1.476101421,1.245403685,2.381241939,0.138148719,0.48305548
Jordan,4.559948849,0.277080547,1.073997263,0.702753919,1.865775957,0.776319042,0.864591508,1.865171465
Kazakhstan,2.496642541,0.213930079,0.701045959,0.402074027,0.576661997,1.642585717,0.403878631,0.574613987
Kenya,2.25111723,0.248515666,2.741561063,0.310344341,3.44251125,0.114700901,3.223646465,0.125561206
Khmer Republic,0,0,0,0,0,0,0,0
Kiribati,42.99575965,0,0,0,1.322579171,0,0,0
Kuwait,0.320682774,0.35276298,0.342175848,0.55553746,0.502427942,0.38561716,0.376339972,2.644386623
Kyrgyzstan,3.502872695,0.160059749,1.078166888,0.342479565,0.762543953,1.647521023,1.355217284,0.504984031
Laos,2.504475924,0.0495903,2.137866434,0.282955409,3.790338668,0,2.939148821,0
Latvia,0.731662401,0.595593334,0.971228601,0.752824989,0.771649345,1.700692003,0.175234403,0.195888681
Lebanon,0.98081919,0.436593351,0.696690221,1.414152258,1.018786467,0.327746698,2.045883767,1.0687033
Lesotho,7.561041383,0.099809121,1.210170591,0,2.604927796,0.308205454,7.605706129,0
Liberia,0.846193142,0.167551908,0.564317137,0.239007016,0.624707608,0,6.383938442,0
Libya,0.885523578,0.277621029,1.373019876,0.640921958,1.007854653,0.733199587,0.2783608,1.037234107
Liechtenstein,0,0.156915962,0.181198329,0.239823436,0.083578872,5.883802661,0.284699788,1.273025499
Lithuania,0.938894834,0.571121126,0.935823819,0.442581581,1.459663957,1.532153555,0.372245927,0.404232097
Luxembourg,0.304584168,0.904645567,1.802724762,1.048487124,0.58089156,0.775971992,0.89361829,1.070299296
Macau,0,0,0,0,2.735520893,0,0,0
Macedonia,0.660237853,0.359511667,1.475023586,0.442899492,1.299799741,0.698051136,0.345905221,0.464011058
Madagascar,3.31609875,0.131321951,5.233814026,0.156105194,2.570538115,0.180229092,0.463289956,0.414317081
Malawi,1.566058529,0.130327712,1.680101869,0.519260234,3.158475749,0.013877424,6.392560627,0.127607675
Malaysia,0.363447582,0.323963899,1.207979244,0.538683024,2.120341033,0.664428516,0.775503585,3.08922523
Maldives,0,0,0.747124097,0.791079559,0,0,0,0
Mali,1.796209756,0.207469242,3.533725453,0.338225961,5.433177134,0,3.387788183,0
Malta,1.317319646,0.766705959,0.351402541,0.879453698,0.427319316,0.231873329,1.305024052,1.122186735
Marshall Islands,10.19771222,0.336535883,0,1.440170479,3.136886494,0,0,0
Mauritania,3.328123655,0.164747692,1.886566496,0,2.866510503,0.084788739,0,1.559323074
Mauritius,1.183663026,0.328122486,4.199460029,0.200595174,4.36923476,0.072373245,0.396885062,0.443664541
Mexico,0.999213091,0.583331568,2.145890407,0.377778635,1.868233737,0.792247984,2.879044408,0.777388282
Moldova,0.578067989,0.200307331,0.452971132,0.183684534,0.666816351,4.499133263,0.605711214,0
Monaco,0.611862733,0.538457413,0.16321788,1.526580708,0.175665644,0.124704668,0.170965873,0
Mongolia,3.965594751,0.498146714,1.910945905,0.505843089,0.960135474,0.417152959,0.428926924,0.239741534
Montenegro,2.219593376,0.173134138,1.883920225,0.398951335,1.017936378,0.678568019,0.507432956,0.756323115
Morocco,0.842555837,0.220830362,1.490233865,0.332826626,1.588110187,0.997981939,0.112594964,0.54923409
Mozambique,2.119509279,0.179861583,1.59521091,0.342088458,2.030438445,0.015427871,4.949354635,0
Namibia,3.738552512,0.09400107,1.685878502,0.050283481,0.96381329,0.036283811,2.984632515,0.66728418
Nauru,119.313233,0,0,5.616664869,0,0,0,0
Nepal,1.203691992,0.429732572,2.897122978,0.656784309,2.187923308,0.217448297,2.201459031,0.307617181
Netherlands,0.703374038,0.98483044,1.049080568,1.593924966,0.711031821,0.676028254,1.51481932,0.632273394
Netherlands-Antilles,0,0.170453239,0.258339988,1.00297587,0.238321896,0.065793859,2.16482761,0
New Zealand,1.933718579,0.618503222,2.19574327,0.468031896,2.924475051,0.257517739,1.826919213,0.782457651
New-Caledonia,3.138500448,0.165718427,4.772113669,0.195023086,1.05038169,0.01279325,0.420938702,0
Nicaragua,0,0.258520746,2.049497239,0.978661303,2.446771465,0.030703801,3.030758654,0.564663962
Niger,1.689989136,0.111543055,3.78183071,0.132593599,8.57178672,0.133948593,1.731453244,0
Nigeria,1.190955756,0.261115612,2.429265528,0.256155335,5.400027067,0.198787903,1.267988553,0.641376475
Niue,0,0,0,0,0,0,0,0
North Korea,0,0.479647487,1.321739474,0.279900243,1.13803324,1.61577477,0,6.190668019
Norway,0.951438002,0.753564378,0.956172459,1.59232522,0.69246749,0.281488089,1.654676446,0.499511839
Oman,0.724097909,0.304674497,1.503004883,0.492129261,2.160553775,0.567258661,0.720788073,2.459642291
Pakistan,0.150285117,0.455351123,4.352206959,0.334941165,3.424971536,0.779625064,0.472415264,0.968178254
Palau,6.628512946,0.145832216,1.473494747,0.312036937,0.815590488,0,0,0
Palestine,0,0.370460871,0.641683196,0.339717633,0.690620978,0.653693825,3.360720282,1.502734737
Panama,3.680713472,0.268507441,5.176251396,0.300941615,1.104404071,0.019741362,0.64955373,0.121019066
Papua New Guinea,8.521050643,0.207846568,2.693057004,0.156963154,2.051322142,0.056631137,0.776393693,0.520742731
Paraguay,0.299030659,0.355260436,4.028290902,1.182455762,2.134026241,0.091418836,1.002656998,0
People's Democratic Republic of Yemen,0,0,6.630726362,0,4.587696498,0,0,0
People's Republic of Congo,4.76871435,0,2.162539053,0.269384406,2.699076437,0,0.7994807,0
Peru,4.821072534,0.193846919,2.671876918,0.790418213,2.311426855,0.302118213,1.509678444,0.415413922
Philippines,1.827184631,0.284358011,4.196873325,0.524236541,7.239262901,0.337121141,1.386544969,0.360458666
Poland,0.597385161,0.879568585,1.333427666,0.710417617,0.827017845,0.984096118,0.205958444,0.445420139
Portugal,1.021691232,0.783991149,1.184509344,0.541080754,1.387663798,0.821806207,0.616709153,1.452442034
Qatar,2.028135233,0.30442685,0.327227818,0.785353699,0.346146317,0.646704172,1.837201125,2.452233688
